178,ML1_FAM_1,ML2_BP_17,ML3_BP_1714,ML4_BP_171413,15551
179,ML1_FAM_1,ML2_BP_17,ML3_BP_1715,ML4_BP_171512,15094
180,ML1_FAM_1,ML2_BP_17,ML3_BP_1715,ML4_BP_171511,15093
181,ML1_FAM_1,ML2_BP_17,ML3_BP_1715,ML4_BP_171513,15095
182,ML1_FAM_1,ML2_BP_17,ML3_BP_1717,ML4_BP_1717010,16197
183,ML1_FAM_1,ML2_BP_17,ML3_BP_1717,ML4_BP_171704,15934
184,ML1_FAM_1,ML2_BP_17,ML3_BP_1717,ML4_BP_171703,15932
185,ML1_FAM_1,ML2_BP_17,ML3_BP_1717,ML4_BP_171709,16195
186,ML1_FAM_1,ML2_BP_17,ML3_BP_1717,ML4_BP_171705,15935
187,ML1_FAM_1,ML2_BP_17,ML3_BP_1717,ML4_BP_171707,16194
188,ML1_FAM_1,ML2_BP_17,ML3_BP_1717,ML4_BP_171702,15933
189,ML1_FAM_1,ML2_BP_17,ML3_BP_1717,ML4_BP_171708,16193
190,ML1_FAM_1,ML2_BP_17,ML3_BP_1717,ML4_BP_171706,16190
191,ML1_FAM_1,ML2_BP_17,ML3_BP_1717,ML4_BP_171701,15848
192,ML1_FAM_1,ML2_BP_17,ML3_BP_176,ML4_BP_1762,6179
193,ML1_FAM_1,ML2_BP_17,ML3_BP_176,ML4_BP_1763,6158
194,ML1_FAM_1,ML2_BP_17,ML3_BP_176,ML4_BP_1764,6312
195,ML1_FAM_1,ML2_BP_13,ML3_BP_131008,ML4_BP_1315008,8430
196,ML1_FAM_1,ML2_BP_13,ML3_BP_131008,ML4_BP_1312008,8431
197,ML1_FAM_1,ML2_BP_13,ML3_BP_131,ML4_BP_1317,6259
198,ML1_FAM_1,ML2_BP_13,ML3_BP_131,ML4_BP_1312,6439
199,ML1_FAM_1,ML2_BP_13,ML3_BP_131,ML4_BP_1316,6285
200,ML1_FAM_1,ML2_BP_13,ML3_BP_131,ML4_BP_1311,6433
201,ML1_FAM_1,ML2_BP_13,ML3_BP_131,ML4_BP_1314,6282
202,ML1_FAM_1,ML2_BP_13,ML3_BP_131,ML4_BP_1318,6250
203,ML1_FAM_1,ML2_BP_13,ML3_BP_132,ML4_BP_13211,12204
204,ML1_FAM_1,ML2_BP_11,ML3_BP_1124,ML4_BP_11261008,8323
205,ML1_FAM_1,ML2_BP_11,ML3_BP_1124,ML4_BP_1128110008,15163
206,ML1_FAM_1,ML2_BP_11,ML3_BP_1124,ML4_BP_1129120008,15162
207,ML1_FAM_1,ML2_BP_11,ML3_BP_1124,ML4_BP_1128090008,15146
208,ML1_FAM_1,ML2_BP_11,ML3_BP_1124,ML4_BP_1128070008,15166
209,ML1_FAM_1,ML2_BP_11,ML3_BP_1124,ML4_BP_11259008,8321
210,ML1_FAM_1,ML2_BP_11,ML3_BP_1124,ML4_BP_1129210008,15164
211,ML1_FAM_1,ML2_BP_11,ML3_BP_1124,ML4_BP_1128100008,15165
212,ML1_FAM_1,ML2_BP_11,ML3_BP_1124,ML4_BP_11260008,8322
213,ML1_FAM_1,ML2_BP_11,ML3_BP_1124,ML4_BP_11263008,8324
